company,title,job_title,job_summary,city,state,state1,region
StreamLink Software,Data Analyst,Business Analyst,"The role of the Business Analyst is to work with multiple project stakeholders to effectively gather, document, configure, test, and deliver trainings on the…",Cleveland,OH, Ohio,Midwest
The J. M. Smucker Company,Data Analyst,"Intern, Market Development Organization - Data Science","For more than 120 years, The J.M. Smucker Company has brought families together to share memorable meals and moments. Shiny, HTML, CSS, JavaScript preferred.",Akron,OH, Ohio,Midwest
Jewish Federation of Cleveland,Data Analyst,Lead Data Analyst,"The Lead Data Analyst will be responsible for 1) leading the overall use, expansion, and staff training of our existing BI solution and other data analysis…",Cleveland,OH, Ohio,Midwest
Complion,Data Analyst,Jr. Project Manager / Business Analyst,"Strong attention to detail, specifically the ability to achieve thoroughness and accuracy when accomplishing a task.",Cleveland,OH, Ohio,Midwest
"T-Cetra, LLC",Data Analyst,Data Analyst - Tier 1,We're constantly developing new and creative ways to solve the industry's most complex problems. Our enterprise software solutions run the gamut of Information…,Dublin,OH, Ohio,Midwest
Disys,Data Analyst,Financial Business Analyst III,Demonstrating the ability to forge effective working relationships and achieving desired results with employees from various levels as well as 3rd party vendors…,Akron,OH, Ohio,Midwest
Centric Consulting,Data Analyst,Campus Recruiting - Business Analyst/ Process Analyst,Campus Recruiting - Business Analyst/ Process Analyst. Centric Consulting is not the typical consulting company. Our core purpose is simple:,Cincinnati,OH, Ohio,Midwest
Step2,Data Analyst,Business Analyst – Sales & Product Management,"5 or more years related work experience. The Step2 Company, the largest American manufacturer of preschool and toddler toys and the world’s largest rotational…",Streetsboro,OH, Ohio,Midwest
Medical Mutual of Ohio,Data Analyst,Operations Business Analyst,Acts as a primary contact with third party audit firms during the course of medical and prescription drug audits and operational assessments.,Cleveland,OH, Ohio,Midwest
Battelle,Data Analyst,Data Science Intern (Summer 2020),"Battelle is guided by a founding mission. We invest our knowledge, talents and resources, helping our customers achieve their most important goals.",Columbus,OH, Ohio,Midwest
Hyland Software,Data Analyst,"Intern, Business Analyst - IS","The role is responsible for working with key business stakeholders and eliciting, analyzing, validating and documenting requirements for changes to business…",Westlake,OH, Ohio,Midwest
Pep,Data Analyst,Data Analyst,"Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and…",Cincinnati,OH, Ohio,Midwest
